,testco_brand,tesco_price,tesco_category,tesco_name,tesco_description,tesco_currency,GTIN,tesco_condition,tesco_sku
40,L'OREAL,8.25,Skincare,L’Oreal Men Expert Barberclub Beard Oil 30Ml,L’Oreal Men Expert Barberclub Beard Oil 30Ml,GBP,03600523526062,8.25,299154008
41,L'OREAL,4.5,Skincare,L’Oreal Men Expert Charcoal Face Wash 100Ml,L’Oreal Men Expert Charcoal Face Wash 100Ml,GBP,03600523707997,4.5,303675519
42,L'OREAL,12.0,Black Hair Dye,L'Oreal Paris Preference Core 1 Napoli Permanent Hair Dye,L'Oreal Paris Preference Core 1 Napoli Permanent Hair Dye,GBP,03600523799657,12.0,313855293
43,L'OREAL,5.0,Face Cream & Moisturiser,L'oreal Paris Wrinkle Expert 65+ Night Cream 50Ml,L'oreal Paris Wrinkle Expert 65+ Night Cream 50Ml,GBP,03600523428021,5.0,305045139
44,L'OREAL,2.5,Face Cleansing,L'oreal Paris Age Perfect Refreshing Toner 200Ml,L'oreal Paris Age Perfect Refreshing Toner 200Ml. Smoothing and anti-fatigue. Enriched with vitamin C. For mature skin,GBP,05011408061581,2.5,252223293
45,L'OREAL,10.0,Semi Permanent Hair Dye,L'Oreal Paris Casting Creme Gloss 200 Ebony Black Semi-Permanent Hair Dye,"L'Oreal Paris Casting Creme Gloss 200 Ebony Black Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",GBP,03600520987675,10.0,260994191
46,L'OREAL,12.5,Face Cream & Moisturiser,L'oreal Paris Revlft Filler Anti-Aging Cream Spf 50 50Ml,L'oreal Paris Revlft Filler Anti-Aging Cream Spf 50 50Ml,GBP,03600523982806,12.5,311675290
47,L'OREAL,7.5,Face Serums,L'oreal Revitalift Core White Serum 30Ml,L'oreal Revitalift Core White Serum 30Ml,GBP,03600523279111,7.5,292905094
48,L'OREAL,2.25,Shower,L'oreal Men Expert Body Hair & Beard Wash 400Ml,L'OREAL MEN XPRT BODY HAIR & BEARD WASH 400ML ,GBP,03600523980505,2.25,308462056
49,L'OREAL,7.5,Face Cream & Moisturiser,L'oreal Paris Revitalift Night Cream 50Ml,L'oreal Paris Revitalift Night Cream 50Ml. 50ml size. For skin type: All Skin Types. Face Cream,GBP,05011408040791,7.5,252076316
50,L'OREAL,11.0,Brown Hair Dye,L'Oreal Paris Casting Natural Gloss 523 Hazelnut Light Brown Semi-Permanent Hair Dye,L'Oreal Paris Casting Natural Gloss 523 Hazelnut Light Brown Semi-Permanent Hair Dye,GBP,03600524053789,11.0,314312387
51,EXCELLENCE,10.0,Permanent Hair Dye,L'Oreal Paris Excellence Creme 7 Natural Dark Blonde Permanent Hair Dye,L'Oreal Paris Excellence Creme 7 Natural Dark Blonde Permanent Hair Dye,GBP,05011408064919,10.0,250037574
52,L'OREAL,12.0,Permanent Hair Dye,L'Oreal Paris Preference 7.3 Florida Golden Blonde Permanent Hair Dye,L'Oreal Paris Preference 7.3 Florida Golden Blonde Permanent Hair Dye,GBP,05011408000245,12.0,255317235
53,L'OREAL,9.0,Permanent Hair Dye,L'Oreal Paris Preference Vivids 10.11 Silver Grey Permanent Hair Dye,L'OREAL PARIS PREFERENCE SILVER GREY ,GBP,03600524015244,9.0,311202277
